,CO_MUN_GEO,NO_MUN,NO_MUN_MIN,SG_UF
395,1507508,SAO JOAO DO ARAGUAIA,São João do Araguaia,PA
396,1507607,SAO MIGUEL DO GUAMA,São Miguel do Guamá,PA
397,1507706,SAO SEBASTIAO DA BOA VISTA,São Sebastião da Boa Vista,PA
398,1507755,SAPUCAIA,Sapucaia,PA
399,1507805,SENADOR JOSE PORFIRIO,Senador José Porfírio,PA
400,1507904,SOURE,Soure,PA
401,1507953,TAILANDIA,Tailândia,PA
402,1507961,TERRA ALTA,Terra Alta,PA
403,1507979,TERRA SANTA,Terra Santa,PA
404,1508001,TOME-ACU,Tomé-Açu,PA
405,1508035,TRACUATEUA,Tracuateua,PA
406,1508050,TRAIRAO,Trairão,PA
407,1508084,TUCUMA,Tucumã,PA
408,1508100,TUCURUI,Tucuruí,PA
409,1508126,ULIANOPOLIS,Ulianópolis,PA
410,1508159,URUARA,Uruará,PA
411,1508209,VIGIA,Vigia,PA
412,1508308,VISEU,Viseu,PA
413,1508357,VITORIA DO XINGU,Vitória do Xingu,PA
414,1508407,XINGUARA,Xinguara,PA
415,1600055,SERRA DO NAVIO,Serra do Navio,AP
416,1600105,AMAPA,Amapá,AP
417,1600154,PEDRA BRANCA DO AMAPARI,Pedra Branca do Amapari,AP
418,1600204,CALCOENE,Calçoene,AP
419,1600212,CUTIAS,Cutias,AP
420,1600238,FERREIRA GOMES,Ferreira Gomes,AP
421,1600253,ITAUBAL,Itaubal,AP
422,1600279,LARANJAL DO JARI,Laranjal do Jari,AP
423,1600303,MACAPA,Macapá,AP
424,1600402,MAZAGAO,Mazagão,AP
425,1600501,OIAPOQUE,Oiapoque,AP
426,1600535,PORTO GRANDE,Porto Grande,AP
427,1600550,PRACUUBA,Pracuúba,AP
428,1600600,SANTANA,Santana,AP
429,1600709,TARTARUGALZINHO,Tartarugalzinho,AP
430,1600808,VITORIA DO JARI,Vitória do Jari,AP
431,1700251,ABREULANDIA,Abreulândia,TO
432,1700301,AGUIARNOPOLIS,Aguiarnópolis,TO
433,1700350,ALIANCA DO TOCANTINS,Aliança do Tocantins,TO
434,1700400,ALMAS,Almas,TO
435,1700707,ALVORADA,Alvorada,TO
436,1701002,ANANAS,Ananás,TO
437,1701051,ANGICO,Angico,TO
438,1701101,APARECIDA DO RIO NEGRO,Aparecida do Rio Negro,TO
439,1701309,ARAGOMINAS,Aragominas,TO
440,1701903,ARAGUACEMA,Araguacema,TO
441,1702000,ARAGUACU,Araguaçu,TO
442,1702109,ARAGUAINA,Araguaína,TO
443,1702158,ARAGUANA,Araguanã,TO
444,1702208,ARAGUATINS,Araguatins,TO
445,1702307,ARAPOEMA,Arapoema,TO
446,1702406,ARRAIAS,Arraias,TO
447,1702554,AUGUSTINOPOLIS,Augustinópolis,TO
448,1702703,AURORA DO TOCANTINS,Aurora do Tocantins,TO
449,1702901,AXIXA DO TOCANTINS,Axixá do Tocantins,TO
450,1703008,BABACULANDIA,Babaçulândia,TO
451,1703057,BANDEIRANTES DO TOCANTINS,Bandeirantes do Tocantins,TO
452,1703073,BARRA DO OURO,Barra do Ouro,TO
453,1703107,BARROLANDIA,Barrolândia,TO
454,1703206,BERNARDO SAYAO,Bernardo Sayão,TO
455,1703305,BOM JESUS DO TOCANTINS,Bom Jesus do Tocantins,TO
456,1703602,BRASILANDIA DO TOCANTINS,Brasilândia do Tocantins,TO
457,1703701,BREJINHO DE NAZARE,Brejinho de Nazaré,TO
458,1703800,BURITI DO TOCANTINS,Buriti do Tocantins,TO
459,1703826,CACHOEIRINHA,Cachoeirinha,TO
460,1703842,CAMPOS LINDOS,Campos Lindos,TO
461,1703867,CARIRI DO TOCANTINS,Cariri do Tocantins,TO
462,1703883,CARMOLANDIA,Carmolândia,TO
463,1703891,CARRASCO BONITO,Carrasco Bonito,TO
464,1703909,CASEARA,Caseara,TO
465,1704105,CENTENARIO,Centenário,TO
466,1704600,CHAPADA DE AREIA,Chapada de Areia,TO
467,1705102,CHAPADA DA NATIVIDADE,Chapada da Natividade,TO
468,1705508,COLINAS DO TOCANTINS,Colinas do Tocantins,TO
469,1705557,COMBINADO,Combinado,TO
470,1705607,CONCEICAO DO TOCANTINS,Conceição do Tocantins,TO
471,1706001,COUTO DE MAGALHAES,Couto de Magalhães,TO
472,1706100,CRISTALANDIA,Cristalândia,TO
473,1706258,CRIXAS DO TOCANTINS,Crixás do Tocantins,TO
474,1706506,DARCINOPOLIS,Darcinópolis,TO
475,1707009,DIANOPOLIS,Dianópolis,TO
476,1707108,DIVINOPOLIS DO TOCANTINS,Divinópolis do Tocantins,TO
477,1707207,DOIS IRMAOS DO TOCANTINS,Dois Irmãos do Tocantins,TO
478,1707306,DUERE,Dueré,TO
479,1707405,ESPERANTINA,Esperantina,TO
480,1707553,FATIMA,Fátima,TO
481,1707652,FIGUEIROPOLIS,Figueirópolis,TO
482,1707702,FILADELFIA,Filadélfia,TO
483,1708205,FORMOSO DO ARAGUAIA,Formoso do Araguaia,TO
484,1708254,FORTALEZA DO TABOCAO,Fortaleza do Tabocão,TO
485,1708304,GOIANORTE,Goianorte,TO
486,1709005,GOIATINS,Goiatins,TO
487,1709302,GUARAI,Guaraí,TO
488,1709500,GURUPI,Gurupi,TO
489,1709807,IPUEIRAS,Ipueiras,TO
490,1710508,ITACAJA,Itacajá,TO
491,1710706,ITAGUATINS,Itaguatins,TO
492,1710904,ITAPIRATINS,Itapiratins,TO
